No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
168,RGAS,Kian Santang Muliatama Tbk.,08 Nov 2023,1.459.234.110,Pengembangan
169,MSTI,Mastersystem Infotama Tbk.,08 Nov 2023,3.139.416.200,Utama
170,IKPM,Ikapharmindo Putramas Tbk.,08 Nov 2023,1.684.662.500,Pengembangan
171,AYAM,Janu Putra Sejahtera Tbk.,30 Nov 2023,4.000.000.000,Pengembangan
172,SURI,Maja Agung Latexindo Tbk.,07 Des 2023,6.334.375.000,Pengembangan
173,ASLI,Asri Karya Lestari Tbk.,05 Jan 2024,6.250.000.000,Pengembangan
174,CGAS,Citra Nusantara Gemilang Tbk.,08 Jan 2024,1.771.499.039,Pengembangan
175,NICE,Adhi Kartiko Pratama Tbk.,09 Jan 2024,6.082.020.000,Pengembangan
176,MSJA,Multi Spunindo Jaya Tbk.,10 Jan 2024,5.882.352.900,Pengembangan
177,SMLE,Sinergi Multi Lestarindo Tbk.,10 Jan 2024,2.328.153.048,Pengembangan
178,ACRO,Samcro Hyosung Adilestari Tbk.,11 Jan 2024,3.469.345.537,Pengembangan
179,MANG,Manggung Polahraya Tbk.,11 Jan 2024,3.812.606.029,Akselerasi
180,GRPH,Griptha Putra Persada Tbk.,17 Jan 2024,1.000.000.000,Pengembangan
181,SMGA,Sumber Mineral Global Abadi Tb,30 Jan 2024,8.750.000.000,Pengembangan
182,UNTD,Terang Dunia Internusa Tbk.,07 Feb 2024,6.666.666.700,Pengembangan
183,TOSK,Topindo Solusi Komunika Tbk.,07 Feb 2024,4.375.277.300,Pengembangan
184,MPIX,Mitra Pedagang Indonesia Tbk.,07 Feb 2024,1.562.574.308,Pengembangan
185,ALII,Ancara Logistics Indonesia Tbk,07 Feb 2024,15.825.800.000,Utama
186,MKAP,Multikarya Asia Pasifik Raya T,12 Feb 2024,3.250.000.000,Pengembangan
187,MEJA,Harta Djaya Karya Tbk.,12 Feb 2024,2.608.081.058,Akselerasi
188,LIVE,Homeco Victoria Makmur Tbk.,12 Feb 2024,4.593.005.014,Pengembangan
189,HYGN,Ecocare Indo Pasifik Tbk.,13 Feb 2024,2.525.000.000,Pengembangan
190,BAIK,Bersama Mencapai Puncak Tbk.,15 Feb 2024,1.127.497.572,Pengembangan
191,VISI,Satu Visi Putra Tbk.,27 Feb 2024,3.075.000.000,Pengembangan
192,AREA,Dunia Virtual Online Tbk.,01 Apr 2024,2.539.601.000,Pengembangan
193,MHKI,Multi Hanna Kreasindo Tbk.,16 Apr 2024,3.750.000.000,Pengembangan
194,ATLA,Atlantis Subsea Indonesia Tbk.,16 Apr 2024,6.199.577.693,Pengembangan
195,DATA,Remala Abadi Tbk.,07 Mei 2024,1.375.000.000,Pengembangan
196,SOLA,Xolare RCR Energy Tbk.,08 Mei 2024,3.287.375.000,Pengembangan
197,BATR,Benteng Api Technic Tbk.,10 Jun 2024,3.025.037.353,Pengembangan
198,SPRE,Soraya Berjaya Indonesia Tbk.,03 Jul 2024,800.000.000,Akselerasi
199,PART,Cipta Perdana Lancar Tbk.,05 Jul 2024,2.850.594.054,Pengembangan
200,GOLF,Intra Golflink Resorts Tbk.,08 Jul 2024,19.486.760.000,Utama
201,ISEA,Indo American Seafoods Tbk.,08 Jul 2024,1.390.013.370,Pengembangan
202,BLES,Superior Prima Sukses Tbk.,08 Jul 2024,8.890.206.400,Pengembangan
203,GUNA,Gunanusa Eramandiri Tbk.,09 Jul 2024,2.500.000.000,Pengembangan
204,LABS,UBC Medical Indonesia Tbk.,10 Jul 2024,3.950.000.000,Pengembangan
205,DOSS,Global Sukses Digital Tbk.,07 Agt 2024,1.725.000.000,Pengembangan
206,NEST,Esta Indonesia Tbk.,08 Agt 2024,4.112.500.000,Pengembangan
207,PTMR,Master Print Tbk.,08 Okt 2024,1.907.000.000,Pemantauan Khusus
208,VERN,Verona Indah Pictures Tbk.,08 Okt 2024,4.765.648.183,Pengembangan
209,DAAZ,Daaz Bara Lestari Tbk.,11 Nov 2024,1.997.000.000,Utama
210,BOAT,Newport Marine Services Tbk.,12 Nov 2024,3.501.680.000,Pengembangan
211,NAIK,Adiwarna Anugerah Abadi Tbk.,13 Nov 2024,3.329.422.047,Pengembangan
212,AADI,Adaro Andalan Indonesia Tbk.,05 Des 2024,7.786.891.760,Utama
213,MDIY,Daya Intiguna Yasa Tbk.,19 Des 2024,25.190.392.000,Utama
214,KSIX,Kentanix Supra International T,08 Jan 2025,2.137.831.800,Pengembangan
215,RATU,Raharja Energi Cepu Tbk.,08 Jan 2025,2.715.053.800,Pengembangan
216,YOII,Asuransi Digital Bersama Tbk.,08 Jan 2025,3.926.983.181,Pengembangan
217,HGII,Hero Global Investment Tbk.,09 Jan 2025,6.500.000.000,Pengembangan
218,BRRC,Raja Roti Cemerlang Tbk.,09 Jan 2025,994.603.036,Pemantauan Khusus
219,DGWG,Delta Giri Wacana Tbk.,13 Jan 2025,5.882.353.000,Utama
220,CBDK,Bangun Kosambi Sukses Tbk.,13 Jan 2025,5.668.944.500,Utama
221,OBAT,Brigit Biofarmaka Teknologi Tb,13 Jan 2025,680.376.575,Pengembangan
